"ID","Title","Value","Area","type1","type2","type3","type4","type5","type6","Director","Actor","Year"
34874646,"繁花",8.6," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 王家卫 "," 胡歌 马伊琍",2023
26862252,"仙剑四",4.2," 中国大陆 ","剧情","奇幻","古装",NA,NA,NA," 杨玄 黄埜 "," 鞠婧祎 陈哲远",2024
35321446,"大江大河之岁月如歌",8.1," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 孔笙 孙墨龙 刘洪源 "," 王凯 杨烁",2024
35597502,"祈今朝",4.9," 中国大陆 ","剧情","爱情","奇幻","古装",NA,NA," 刘国楠 "," 许凯 虞书欣",2024
34948315,"你也有今天",7," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 陈铭章 陈世峄 "," 陈星旭 章若楠",2024
35588177,"漫长的季节",9.4," 中国大陆 ","剧情","家庭","犯罪",NA,NA,NA," 辛爽 "," 范伟 秦昊",2023
35633163,"莲花楼",8.5," 中国大陆 ","剧情","悬疑","武侠","古装",NA,NA," 郭虎 任海涛 "," 成毅 曾舜晞",2023
36155257,"如果奔跑是我的人生",7.4," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 沈严 李江明 "," 钟楚曦 杨超越",2024
36178641,"三大队",7.1," 中国大陆 ","动作","悬疑","犯罪",NA,NA,NA," 邢键钧 "," 秦昊 李乃文",2023
35623467,"黑土无言",6.6," 中国大陆 ","剧情","悬疑","犯罪",NA,NA,NA," 臧溪川 "," 陈建斌 胡军",2024
35465232,"狂飙",8.5," 中国大陆 ","剧情","犯罪",NA,NA,NA,NA," 徐纪周 "," 张译 张颂文",2023
25785216,"长相思",7.8," 中国大陆 ","爱情","奇幻","古装",NA,NA,NA," 秦榛 杨欢 "," 杨紫 张晚意",2023
4922787,"后宫·甄嬛传",9.4," 中国大陆 ","剧情","古装",NA,NA,NA,NA," 郑晓龙 "," 孙俪 陈建斌",2011
35861086,"神隐",6," 中国大陆 ","剧情","爱情","奇幻","古装",NA,NA," 陈家霖 李才 "," 赵露思 王安宇",2023
26926445,"长歌行",6," 中国大陆 ","剧情","古装",NA,NA,NA,NA," 朱锐斌 "," 迪丽热巴 吴磊",2021
35639366,"19层",6.8," 中国大陆 ","科幻","悬疑","冒险",NA,NA,NA," 蔡聪 "," 孙千 魏哲鸣",2024
26752700,"漂亮的李慧珍",3.1," 中国大陆 ","喜剧","爱情",NA,NA,NA,NA," 赵晨阳 "," 迪丽热巴 盛一伦",2017
36140095,"新闻女王",7.8," 中国香港 中国大陆 ","剧情",NA,NA,NA,NA,NA," 陈海斌 姜振杰 "," 佘诗曼 马国明",2023
35725842,"繁城之下",8.5," 中国大陆 ","悬疑","犯罪","古装",NA,NA,NA," 王铮 "," 白宇帆 宁理",2023
36016469,"脱轨",6.7," 中国大陆 ","剧情","爱情","奇幻",NA,NA,NA," 沈阳 "," 刘浩存 林一",2023
35170004,"王者荣耀：荣耀之章碎月篇",8.5," 中国大陆 ","动画",NA,NA,NA,NA,NA," 陈万里 赵奔 邓煌 付博 "," 汪佳杰 藤新 Xin Teng",2024
26928226,"知否知否应是绿肥红瘦",7.9," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 张开宙 "," 赵丽颖 冯绍峰",2018
33454980,"你是我的荣耀",6.9," 中国大陆 ","爱情",NA,NA,NA,NA,NA," 王之 "," 迪丽热巴 杨洋",2021
35993527,"我们的翻译官",6.7," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 张彤 "," 宋茜 陈星旭",2024
35525475,"公诉",6.6," 中国大陆 ","剧情","悬疑","犯罪",NA,NA,NA," 余丁 "," 迪丽热巴 佟大为",2023
26920281,"香蜜沉沉烬如霜",7.8," 中国大陆 ","爱情","奇幻","古装",NA,NA,NA," 朱锐斌 李秉光 澄丰 "," 杨紫 邓伦",2018
33404425,"隐秘的角落",8.8," 中国大陆 ","剧情","悬疑","犯罪",NA,NA,NA," 辛爽 "," 秦昊 王景春",2020
26647087,"三体",8.7," 中国大陆 ","剧情","科幻",NA,NA,NA,NA," 杨磊 "," 张鲁一 于和伟",2023
26794191,"亲爱的，热爱的",6.6," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 李青蓉 项旭晶 "," 杨紫 李现",2019
3227335,"仙剑奇侠传三",9," 中国大陆 ","爱情","奇幻","武侠","古装",NA,NA," 李国立 "," 胡歌 霍建华",2009
35662223,"去有风的地方",8.7," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 丁梓光 "," 刘亦菲 李现",2023
35029547,"沉香如屑·沉香重华",5.9," 中国大陆 ","古装",NA,NA,NA,NA,NA," 郭虎 任海涛 "," 杨紫 成毅",2022
25754848,"琅琊榜",9.4," 中国大陆 ","剧情","古装",NA,NA,NA,NA," 孔笙 李雪 "," 胡歌 刘涛",2015
35797771,"一念关山",6.4," 中国大陆 ","动作","古装",NA,NA,NA,NA," 周靖韬 邹曦 "," 刘诗诗 刘宇宁",2023
35465016,"宁安如梦",6.8," 中国大陆 ","剧情","古装",NA,NA,NA,NA," 朱锐斌 "," 白鹿 张凌赫",2023
33447642,"沉默的真相",9," 中国大陆 ","剧情","悬疑","犯罪",NA,NA,NA," 陈奕甫 "," 廖凡 白宇",2020
25853071,"庆余年 第一季",7.9," 中国大陆 ","剧情","古装",NA,NA,NA,NA," 孙皓 "," 张若昀 李沁",2019
35248734,"安乐传",5.8," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 成志超 马华干 苏飞 "," 迪丽热巴 龚俊",2023
36155049,"古相思曲",8.6," 中国大陆 ","剧情","爱情","奇幻","古装",NA,NA," 知竹 "," 张雅钦 郭迦南",2023
35235410,"与君初相识·恰似故人归",5.7," 中国大陆 ","爱情","奇幻","古装",NA,NA,NA," 朱锐斌 "," 迪丽热巴 任嘉伦",2022
34779776,"苍兰诀",8.1," 中国大陆 ","奇幻","古装",NA,NA,NA,NA," 伊峥 钱敬午 "," 虞书欣 王鹤棣",2022
26915522,"三生三世枕上书",6.8," 中国大陆 ","剧情","爱情","奇幻",NA,NA,NA," 杨玄 "," 迪丽热巴 高伟光",2020
35873858,"鸣龙少年",6.9," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 丁黑 "," 张若昀 黄尧",2023
2210031,"仙剑奇侠传",9.1," 中国大陆 ","爱情","奇幻","武侠","古装",NA,NA," 李国立 吴锦源 梁胜权 麦贯之 "," 胡歌 刘亦菲",2005
35332289,"开端",7.9," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 孙墨龙 刘洪源 老算 "," 白敬亭 赵今麦",2022
35839999,"不良执念清除师",8.8," 中国台湾 ","喜剧","奇幻",NA,NA,NA,NA," 林冠慧 "," 曾敬骅 宋芸桦",2023
36059766,"故乡，别来无恙",8.2," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 彭晨 王光 "," 任素汐 李雪琴",2023
25975243,"三生三世十里桃花",6.6," 中国大陆 ","剧情","爱情","奇幻",NA,NA,NA," 林玉芬 余翠华 任海涛 "," 杨幂 赵又廷",2017
35861101,"云之羽",6.1," 中国大陆 ","剧情","奇幻","古装",NA,NA,NA," 顾晓声 "," 虞书欣 张凌赫",2023
3882715,"武林外传",9.6," 中国大陆 ","喜剧","武侠","古装",NA,NA,NA," 尚敬 "," 闫妮 姚晨",2006
30403219,"余生，请多指教",6," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 吕赢 "," 杨紫 肖战",2022
35452438,"星汉灿烂·月升沧海",7.7," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 费振翔 "," 吴磊 赵露思",2022
35899932,"偷偷藏不住",6.7," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 李青蓉 "," 赵露思 陈哲远",2023
24294849,"阿娜尔罕",6.2," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 阎清秀 于德安 "," 迪丽热巴 阿卜力克木·阿卜来提",2013
35725856,"尘封十三载",8.1," 中国大陆 ","悬疑","犯罪",NA,NA,NA,NA," 刘海波 "," 陈建斌 陈晓",2023
2156663,"西游记",9.7," 中国大陆 ","剧情","动作","奇幻","冒险","古装",NA," 杨洁 "," 六小龄童 迟重瑞",1986
30468961,"想见你",9.2," 中国台湾 ","爱情","悬疑","奇幻",NA,NA,NA," 黄天仁 "," 柯佳嬿 许光汉",2019
26430092,"欢乐颂",7.5," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 孔笙 简川訸 "," 刘涛 蒋欣",2016
35490187,"很想很想你",6.7," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 沙维琪 "," 檀健次 周也",2023
35587662,"装腔启示录",8.1," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 李漠 "," 蔡文静 韩东君",2023
35712815,"我有一个朋友",8.6," 中国大陆 ","喜剧","古装",NA,NA,NA,NA," 毕鑫业 "," 谢兴阳 苏梦迪",2023
19965220,"父母爱情",9.4," 中国大陆 ","爱情","家庭",NA,NA,NA,NA," 孔笙 "," 郭涛 梅婷",2014
35444999,"以爱为营",4.3," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 郭虎 "," 白鹿 王鹤棣",2023
2210001,"大明王朝1566",9.8," 中国大陆 ","剧情","历史","古装",NA,NA,NA," 张黎 "," 陈宝国 黄志忠",2007
27088995,"一千零一夜",5.3," 中国大陆 ","喜剧","爱情",NA,NA,NA,NA," 金沙 "," 迪丽热巴 邓伦",2018
20258941,"战长沙",9.1," 中国大陆 ","剧情","历史","战争",NA,NA,NA," 孔笙 张开宙 "," 霍建华 杨紫",2014
35284451,"少年歌行",8.3," 中国大陆 ","剧情","武侠",NA,NA,NA,NA," 尹涛 "," 李宏毅 刘学义",2022
26727273,"人民的名义",8.3," 中国大陆 ","剧情","悬疑","犯罪",NA,NA,NA," 李路 "," 陆毅 柯蓝",2017
26585909,"麻辣变形计",7.3," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 袁晓满 "," 迪丽热巴 马可",2016
30228394,"觉醒年代",9.3," 中国大陆 ","剧情","历史",NA,NA,NA,NA," 张永新 "," 于和伟 张桐",2021
35235151,"唐朝诡事录",7.9," 中国大陆 ","悬疑","奇幻","武侠","古装",NA,NA," 柏杉 "," 杨旭文 杨志刚",2022
35588219,"南海归墟",6.1," 中国大陆 ","剧情","动作","冒险",NA,NA,NA," 蔡岳勋 "," 潘粤明 张雨绮",2023
26797690,"大江大河",8.8," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 孔笙 黄伟 "," 王凯 杨烁",2018
35307437,"猎罪图鉴",7.6," 中国大陆 ","悬疑","犯罪",NA,NA,NA,NA," 邢键钧 "," 檀健次 金世佳",2022
30313647,"女心理师",5.2," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 柯汶利 "," 杨紫 井柏然",2021
27073044,"幸福，触手可及！",5.1," 中国大陆 ","爱情",NA,NA,NA,NA,NA," 沈阳 贲放 "," 黄景瑜 迪丽热巴",2020
26883064,"白夜追凶",8.9," 中国大陆 ","剧情","悬疑","犯罪",NA,NA,NA," 王伟 "," 潘粤明 王龙正",2017
2160565,"家有儿女",9," 中国大陆 ","喜剧","家庭",NA,NA,NA,NA," 林丛 "," 宋丹丹 高亚麟",2005
25812420,"花千骨",7.3," 中国大陆 ","剧情","爱情","奇幻","古装",NA,NA," 林玉芬 高林豹 梁胜权 "," 霍建华 赵丽颖",2015
35501483,"长月烬明",5.6," 中国大陆 ","剧情","爱情","奇幻","古装",NA,NA," 鞠觉亮 "," 罗云熙 白鹿",2023
27195020,"陈情令",7.7," 中国大陆 ","剧情","古装",NA,NA,NA,NA," 郑伟文 陈家霖 "," 肖战 王一博",2019
35231822,"梦华录",7.9," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 杨阳 "," 刘亦菲 陈晓",2022
34463197,"传闻中的陈芊芊",7.3," 中国大陆 ","喜剧","爱情","奇幻","古装",NA,NA," 查传谊 "," 赵露思 丁禹兮",2020
35679640,"有生之年",8.8," 中国台湾 ","剧情","喜剧",NA,NA,NA,NA," 许肇任 "," 吴慷仁 郑元畅",2023
35390378,"花戎",5.1," 中国大陆 ","爱情","古装",NA,NA,NA,NA," 陈国华 胡意涓 "," 鞠婧祎 郭俊辰",2023
3926132,"爱情公寓",8.1," 中国大陆 ","喜剧","爱情",NA,NA,NA,NA," 韦正 "," 赵霁 金世佳",2009
35465009,"卿卿日常",7.2," 中国大陆 ","喜剧","爱情","古装",NA,NA,NA," 赵启辰 "," 白敬亭 田曦薇",2022
26897025,"芸汐传",6.1," 中国大陆 ","爱情","武侠","古装",NA,NA,NA," 林健龙 刘镇明 "," 鞠婧祎 米热",2018
30181230,"我们与恶的距离",9.4," 中国台湾 ","剧情",NA,NA,NA,NA,NA," 林君阳 "," 贾静雯 温升豪",2019
1864810,"红楼梦",9.7," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 王扶林 "," 欧阳奋强 陈晓旭",1987
35172742,"当我飞奔向你",7.9," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 猫的树 "," 周翊然 张淼怡",2023
1786739,"还珠格格",8.5," 中国台湾 中国大陆 ","剧情","喜剧","动作","爱情","古装",NA," 孙树培 "," 苏有朋 林心如",1998
26602244,"最好的我们",8.9," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 刘畅 "," 刘昊然 谭松韵",2016
30423905,"大江大河2",8.8," 中国大陆 ","剧情","历史",NA,NA,NA,NA," 李雪 黄伟 "," 王凯 杨烁",2020
34794707,"终极笔记",8.2," 中国大陆 ","剧情","奇幻","冒险",NA,NA,NA," 邹曦 马小刚 "," 曾舜晞 肖宇梁",2020
35203354,"爱情而已",8.2," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 陈畅 "," 吴磊 周雨彤",2023
35693264,"我知道我爱你",6.4," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 吕聿来 "," 张晚意 孙怡",2023
5384548,"步步惊心",8.4," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 李国立 "," 刘诗诗 吴奇隆",2011
35207856,"人世间",8.4," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 李路 "," 雷佳音 辛柏青",2022
25994712,"伪装者",8.6," 中国大陆 ","剧情","悬疑",NA,NA,NA,NA," 李雪 "," 胡歌 靳东",2015
30358061,"琉璃",7.4," 中国大陆 ","剧情","古装",NA,NA,NA,NA," 尹涛 麦贯之 "," 成毅 袁冰妍",2020
35161592,"风吹半夏",8.2," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 傅东育 毛溦 "," 赵丽颖 欧豪",2022
32486616,"嘉南传",3.9," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 智磊 符策欣 "," 鞠婧祎 曾舜晞",2021
34785763,"俗女养成记",9.3," 中国台湾 ","剧情","喜剧",NA,NA,NA,NA," 严艺文 陈长纶 "," 谢盈萱 温升豪",2019
26853822,"异人之下",8.1," 中国大陆 ","剧情","奇幻",NA,NA,NA,NA," 许宏宇 "," 彭昱畅 侯明昊",2023
24697826,"古剑奇谭",7.3," 中国大陆 ","剧情","奇幻","武侠","古装",NA,NA," 梁胜权 黄俊文 "," 杨幂 李易峰",2014
26999852,"延禧攻略",7.1," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 惠楷栋 温德光 "," 秦岚 聂远",2018
2254648,"亮剑",9.5," 中国大陆 ","剧情","战争",NA,NA,NA,NA," 张前 陈健 "," 李幼斌 何政军",2005
2154096,"士兵突击",9.5," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 康洪雷 "," 王宝强 陈思诚",2006
25823280,"东宫",7.6," 中国大陆 ","爱情","古装",NA,NA,NA,NA," 李木戈 "," 陈星旭 彭小苒",2019
26930540,"无证之罪",8," 中国大陆 ","悬疑","犯罪",NA,NA,NA,NA," 吕行 "," 秦昊 邓家佳",2017
3314870,"潜伏",9.5," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 姜伟 付玮 "," 孙红雷 姚晨",2008
35496394,"田耕纪",6.6," 中国大陆 ","剧情","古装",NA,NA,NA,NA," 洪泠 "," 曾舜晞 田曦薇",2023
10793510,"爱情公寓4",7.7," 中国大陆 ","喜剧","爱情",NA,NA,NA,NA," 韦正 "," 娄艺潇 陈赫",2014
35033654,"山海情",9.2," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 孔笙 孙墨龙 "," 黄轩 张嘉益",2021
35087777,"长风渡",6.5," 中国大陆 ","剧情","古装",NA,NA,NA,NA," 尹涛 "," 白敬亭 宋轶",2023
34905779,"问心",8.4," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 黎志 "," 赵又廷 毛晓彤",2023
35058573,"月光变奏曲",7," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 张博昱 "," 虞书欣 丁禹兮",2021
25812730,"如懿传",7.5," 中国大陆 ","剧情","历史","古装",NA,NA,NA," 汪俊 "," 周迅 霍建华",2018
35480932,"周生如故",7.3," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 郭虎 "," 任嘉伦 白鹿",2021
35936087,"鹊刀门传奇",8.2," 中国大陆 ","剧情","喜剧","动作","武侠","古装",NA," 唐铁军 吴迪 "," 赵本山 宋小宝",2023
4707205,"爱情公寓2",8.1," 中国大陆 ","喜剧","爱情",NA,NA,NA,NA," 韦正 "," 娄艺潇 王传君",2011
35318009,"天官赐福 第二季",7.8," 中国大陆 ","剧情","动画",NA,NA,NA,NA," 李豪凌 "," 邓宥希 马正阳",2023
26956031,"天乩之白蛇传说",6.2," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 尹涛 刘国辉 "," 杨紫 任嘉伦",2018
35705832,"八尺门的辩护人",8.7," 中国台湾 ","剧情","悬疑",NA,NA,NA,NA," 唐福睿 "," 李铭顺 范逸臣",2023
35087769,"一闪一闪亮星星",6.8," 中国大陆 ","爱情","悬疑","奇幻",NA,NA,NA," 陈小明 章攀 "," 张佳宁 屈楚萧",2022
35429466,"警察荣誉",8.5," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 丁黑 鲍成志 符策欣 "," 张若昀 白鹿",2022
35589397,"我可能遇到了救星",8.1," 中国大陆 ","喜剧","爱情",NA,NA,NA,NA," 王征 "," 曾舜晞 梁洁",2022
6312211,"爱情公寓3",7.7," 中国大陆 ","剧情","喜剧","爱情",NA,NA,NA," 韦正 "," 娄艺潇 陈赫",2012
35882587,"爱爱内含光",7.4," 中国台湾 ","剧情","爱情",NA,NA,NA,NA," 黄婕妤 "," 詹子萱 柯震东",2024
34991920,"星落凝成糖",7.3," 中国大陆 ","剧情","爱情","奇幻",NA,NA,NA," 朱锐斌 "," 陈星旭 李兰迪",2023
35215517,"俗女养成记2",9.3," 中国台湾 ","剧情","喜剧",NA,NA,NA,NA," 陈长纶 严艺文 "," 谢盈萱 吴以涵",2021
27088993,"都挺好",7.7," 中国大陆 ","剧情","家庭",NA,NA,NA,NA," 简川訸 "," 姚晨 倪大红",2019
32581207,"御赐小仵作",8," 中国大陆 ","古装",NA,NA,NA,NA,NA," 楼健 "," 苏晓彤 王子奇",2021
35431983,"梦中的那片海",7.5," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 付宁 "," 肖战 李沁",2023
25823275,"青云志",6.9," 中国大陆 ","奇幻","武侠","古装",NA,NA,NA," 朱锐斌 周靖韬 刘国辉 朱少杰 "," 李易峰 赵丽颖",2016
35653130,"父辈的荣耀",8.3," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 康洪雷 刘翰轩  "," 张晚意 郭涛",2023
35725349,"乐游原",6.7," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 郑伟文 "," 许凯 景甜",2023
26258068,"克拉恋人",5.8," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 陈铭章 吴强 "," 唐嫣 郑智薰",2015
26703476,"烈火如歌",5.9," 中国大陆 ","爱情","奇幻","古装",NA,NA,NA," 梁胜权 "," 周渝民 迪丽热巴",2018
26427831,"微微一笑很倾城",7.2," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 林玉芬 "," 杨洋 毛晓彤",2016
36354085,"问苍茫",8.9," 中国大陆 ","剧情","历史",NA,NA,NA,NA," 王伟 "," 王仁君 宁理",2023
35682502,"兰闺喜事",7.8," 中国大陆 ","喜剧","古装",NA,NA,NA,NA," 李亚飞 "," 刘琳 李嘉琦",2023
35801116,"画江湖之不良人6",9.4," 中国大陆 ","动作","动画","武侠",NA,NA,NA," 李帅帅 "," 边江 申秋香",2023
1863947,"神雕侠侣",9.2," 中国香港 ","爱情","武侠","古装",NA,NA,NA," 李添胜 "," 古天乐 李若彤",1995
34923491,"山河令",8.5," 中国大陆 ","剧情","武侠","古装",NA,NA,NA," 成志超 马华干 李宏宇 "," 龚俊 周也",2021
2153527,"新白娘子传奇",9.1," 中国台湾 ","爱情","奇幻","古装",NA,NA,NA," 夏祖辉 何麒 "," 赵雅芝 叶童",1992
34801099,"如此可爱的我们",8.1," 中国大陆 ","剧情","喜剧","爱情","家庭",NA,NA," 猫的树 "," 李明德 田曦薇",2020
35248698,"护心",7.2," 中国大陆 ","爱情","奇幻","古装",NA,NA,NA," 何澍培 程箓 韩平 "," 侯明昊 周也",2023
35465011,"显微镜下的大明之丝绢案",7.8," 中国大陆 ","剧情","悬疑","古装",NA,NA,NA," 潘安子 "," 张若昀 王阳",2023
25931446,"爱情公寓5",6.9," 中国大陆 ","喜剧","爱情",NA,NA,NA,NA," 韦正 "," 娄艺潇 孙艺洲",2020
2181930,"大宅门",9.4," 中国大陆 ","剧情","爱情","家庭","传记","历史",NA," 郭宝昌 "," 斯琴高娃 刘佩琦",2001
2157131,"少年包青天",8.6," 中国大陆 ","剧情","悬疑","古装",NA,NA,NA," 胡明凯 "," 周杰 释小龙",2000
26946624,"小欢喜",8.2," 中国大陆 ","剧情","家庭",NA,NA,NA,NA," 汪俊 "," 黄磊 海清",2019
30291376,"如意芳霏",4.7," 中国大陆 ","剧情","古装",NA,NA,NA,NA," 林健龙 陈国华 "," 鞠婧祎 刘奕畅",2020
35651927,"模仿犯",7.4," 中国台湾 ","剧情","悬疑","犯罪",NA,NA,NA," 张荣吉 张亨如 "," 吴慷仁 柯佳嬿",2023
35732451,"你给我的喜欢",7.2," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 丁英洲 "," 王玉雯 王子奇",2023
1786740,"还珠格格第二部",8," 中国台湾 中国大陆 ","剧情","喜剧","动作","爱情","古装",NA," 李平 孙树培 "," 苏有朋 张铁林",1999
30311925,"似火流年",8.2," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 韩晓邯 耿明吉 "," 韩东君 贾弘逍",2023
35041292,"玉骨遥",6.3," 中国大陆 ","爱情","奇幻","古装",NA,NA,NA," 蒋家骏 "," 肖战 任敏",2023
35404684,"勇敢的翅膀",5.9," 中国大陆 ","剧情","战争",NA,NA,NA,NA," 高进军 高威 "," 张晚意 富大龙",2022
26849758,"长安十二时辰",8.1," 中国大陆 ","剧情","悬疑","古装",NA,NA,NA," 曹盾 "," 雷佳音 易烊千玺",2019
3901418,"倚天屠龙记",8.5," 中国台湾 中国大陆 中国香港 ","剧情","武侠","古装",NA,NA,NA," 杨韬 "," 苏有朋 贾静雯",2003
35196753,"点燃我，温暖你",7.5," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 刘俊杰 "," 陈飞宇 张婧仪",2022
34792295,"乔家的儿女",7.7," 中国大陆 ","剧情","家庭",NA,NA,NA,NA," 张开宙 "," 白宇 宋祖儿",2021
35132922,"骄阳伴我",7.2," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 宋晓飞 "," 肖战 白百何",2023
1830528,"三国演义",9.6," 中国大陆 ","剧情","历史","战争",NA,NA,NA," 王扶林 蔡晓晴 张绍林 孙光明 张中一 沈好放 "," 唐国强 鲍国安",1994
30354606,"唐人街探案",7.1," 中国大陆 ","悬疑","惊悚","犯罪",NA,NA,NA," 柯汶利 戴墨 姚文逸 来牧宽 "," 邱泽 张钧甯",2020
35431984,"两个人的小森林",6.2," 中国大陆 ","喜剧","爱情",NA,NA,NA,NA," 蔡聪 "," 虞书欣 张彬彬",2022
30463452,"漂亮书生",4.9," 中国大陆 ","古装",NA,NA,NA,NA,NA," 智磊 "," 鞠婧祎 宋威龙",2020
25885442,"何以笙箫默",7.4," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 刘俊杰 "," 钟汉良 唐嫣",2015
27107123,"锦衣之下",7.5," 中国大陆 ","爱情","悬疑","古装",NA,NA,NA," 尹涛 "," 任嘉伦 谭松韵",2019
26924742,"秦时丽人明月心",4.9," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 刘新 "," 迪丽热巴 张彬彬",2017
35344085,"我在他乡挺好的",8.1," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 李漠 "," 周雨彤 任素汐",2021
1863941,"天龙八部",9.1," 中国香港 ","剧情","武侠","古装",NA,NA,NA," 李添胜 "," 黄日华 陈浩民",1997
26339609,"且试天下",5.6," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 尹涛 于永刚 "," 杨洋 赵露思",2022
1830590,"康熙王朝",9.2," 中国大陆 ","剧情","爱情","传记","历史",NA,NA," 陈家林 刘大印 "," 斯琴高娃 陈道明",2001
35312037,"后浪",4.1," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 韩晓军 "," 吴刚 赵露思",2023
1786742,"情深深雨濛濛",7.4," 中国大陆 中国台湾 ","剧情","爱情","音乐","战争",NA,NA," 李平 "," 林心如 古巨基",2001
1863923,"鹿鼎记",9," 中国香港 ","剧情","喜剧","古装",NA,NA,NA," 李添胜 "," 陈小春 马浚伟",1998
1830575,"雍正王朝",9.4," 中国大陆 ","剧情","历史",NA,NA,NA,NA," 胡玫 "," 唐国强 焦晃",1999
3933008,"美人心计",7.7," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 吴锦源 梁辛全 陈国华 "," 林心如 杨幂",2010
35633626,"底线",7.4," 中国大陆 ","剧情","犯罪",NA,NA,NA,NA," 刘国彤 "," 靳东 成毅",2022
35744499,"天启异闻录",4.8," 中国大陆 ","剧情","冒险","古装",NA,NA,NA," 路阳 乔磊 范川 "," 黄轩 吴樾",2023
2229576,"上错花轿嫁对郎",8.6," 中国大陆 ","剧情","喜剧","爱情","古装",NA,NA," 张子恩 "," 黄奕 李琳",2001
25823274,"杉杉来了",7.7," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 刘俊杰 "," 张翰 赵丽颖",2014
10484007,"陆贞传奇",7.7," 中国大陆 ","爱情","古装",NA,NA,NA,NA," 李慧珠 邓伟恩 梁国冠 "," 赵丽颖 陈晓",2013
26377690,"大嫁风尚",7.8," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 曾晓欣 "," 乔振宇 杨紫",2016
35522243,"为有暗香来",6.1," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 白云默 国浩 "," 周也 王星越",2023
35604644,"她和她的她",8.6," 中国台湾 ","剧情","悬疑",NA,NA,NA,NA," 卓立 "," 许玮甯 李程彬",2022
35234634,"满月之下请相爱",4.4," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 李海蜀 黄彦威 "," 鞠婧祎 郑业成",2021
26657834,"新白娘子传奇",4.4," 中国大陆 ","剧情","爱情","奇幻","古装",NA,NA," 智磊 "," 于朦胧 鞠婧祎",2019
35391031,"最食人间烟火色",7.6," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 梁国冠 王辉 "," 卢洋洋 陈鑫海",2023
34908020,"我，喜欢你",6.5," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 陈畅 "," 林雨申 赵露思",2020
30482094,"南风知我意",5.7," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 李昂 "," 成毅 张予曦",2023
